주민등록번호,이름,세대주관계,세대원1,세대원1관계,세대원2,세대원2관계,세대원3,세대원3관계
891215-6084527,박민아,본인,윤하진,배우자,오예윤,자녀,임현호,자녀
760505-7818869,윤현연,본인,장민율,배우자,,,,
500316-5965045,최태윤,본인,박예윤,배우자,박예혁,자녀,,
720903-5833673,송준현,본인,최예연,배우자,최지호,자녀,정하혁,자녀
950308-2998127,이하우,본인,김윤연,배우자,오현율,자녀,,
940104-4719927,송지윤,본인,정서진,배우자,박현빈,자녀,,
590211-9135303,김준현,본인,임윤수,배우자,,,,
561108-0617548,임준민,본인,박도호,배우자,박윤영,자녀,,
581115-0293045,강서윤,본인,박윤혁,배우자,임예진,자녀,,
610824-2844491,한예영,본인,김윤호,배우자,최도율,자녀,임현연,자녀
741214-3137942,박태빈,본인,장준우,배우자,윤서혁,자녀,,
610618-6831080,한현민,본인,임지영,배우자,오현영,자녀,조지혁,자녀
680116-5773811,이준빈,본인,최하우,배우자,,,,
600526-0969134,강하연,본인,최하호,배우자,,,,
670524-1031368,송준아,본인,,,,,,
510807-2193478,송현윤,본인,정정영,배우자,장하빈,자녀,,
690707-8671794,송도윤,본인,윤서호,배우자,정정수,자녀,오지진,자녀
721225-7273409,한하수,본인,이지호,배우자,윤현우,자녀,이현율,자녀
550714-9066153,박준영,본인,조도혁,배우자,정예영,자녀,,
510516-9203244,강준현,본인,장예수,배우자,윤정영,자녀,윤정율,자녀
750424-2124928,송지빈,본인,이도수,배우자,,,,
570505-6513812,김현아,본인,이지율,배우자,장서윤,자녀,장지영,자녀
931020-3963103,최도수,본인,최하빈,배우자,김현진,자녀,박민빈,자녀
781220-9979781,한하우,본인,,,,,,
540922-3192561,강영민,본인,박현연,배우자,,,,
960502-4507836,이지윤,본인,박민영,배우자,,,,
750708-1156153,한태우,본인,,,,,,
751120-5086405,정현우,본인,김하영,배우자,,,,
580624-8049045,윤하현,본인,장정율,배우자,오정호,자녀,,
930519-3619059,윤하윤,본인,윤지혁,배우자,,,,
930524-5189631,최지민,본인,윤서수,배우자,박도수,자녀,,
950614-8973307,송도수,본인,임서연,배우자,임하율,자녀,박윤율,자녀
790413-2071074,한예영,본인,임윤율,배우자,정민우,자녀,윤정연,자녀
980728-1804304,한서현,본인,김지호,배우자,박현우,자녀,조준혁,자녀
650808-4498073,한도우,본인,박도연,배우자,,,,
921218-8571806,임태영,본인,,,,,,
670921-0502331,최민현,본인,,,,,,
980905-8068665,한현진,본인,,,,,,
711024-0864856,한민빈,본인,오현혁,배우자,최민호,자녀,,
831126-1136864,이준윤,본인,장지윤,배우자,,,,
881024-9416053,송지빈,본인,윤민진,배우자,오준영,자녀,,
771108-2449068,임준빈,본인,박도진,배우자,윤지진,자녀,정하빈,자녀
871119-4329014,송민우,본인,이예수,배우자,,,,
800213-5857712,박민현,본인,오하진,배우자,,,,
560611-5855531,최도진,본인,최예우,배우자,,,,
760525-7038829,박지진,본인,,,,,,
700618-6364464,윤태수,본인,박예윤,배우자,,,,
641201-7466567,임태아,본인,,,,,,
570111-5628309,정서윤,본인,장민윤,배우자,,,,
610123-6789923,강민빈,본인,,,,,,
560625-0422415,강영영,본인,김하혁,배우자,조서윤,자녀,,
701208-6453913,송도아,본인,김지빈,배우자,,,,
880503-7476787,최하민,본인,김서진,배우자,윤현윤,자녀,,
960703-2431880,박현윤,본인,,,,,,
631010-5168148,정도우,본인,조윤연,배우자,오민우,자녀,김서수,자녀
910326-2695618,이민빈,본인,이민빈,배우자,최예수,자녀,,
720508-7797883,정하연,본인,조현진,배우자,박서율,자녀,장하윤,자녀
910426-9503200,최도현,본인,오현영,배우자,이정연,자녀,임현진,자녀
550715-2667129,최태아,본인,장지윤,배우자,오윤진,자녀,,
771025-0791884,윤하우,본인,,,,,,
810719-0445835,윤준현,본인,박정혁,배우자,김민우,자녀,조하호,자녀
600907-3153198,임현현,본인,박민혁,배우자,이서빈,자녀,,
640601-6001068,박지아,본인,조현수,배우자,임서수,자녀,장도윤,자녀
731125-0647789,김현윤,본인,오예영,배우자,,,,
530923-8124827,최지빈,본인,최도연,배우자,,,,
511209-7696670,윤태수,본인,,,,,,
910607-2954809,박영빈,본인,박현호,배우자,임정빈,자녀,최준연,자녀
750602-4605198,강도윤,본인,윤민수,배우자,정하진,자녀,김민빈,자녀
501225-6912977,임서우,본인,오하수,배우자,정현진,자녀,,
630103-5097448,이민진,본인,김도영,배우자,정도호,자녀,오민진,자녀
630327-5681723,최예우,본인,조도연,배우자,오하호,자녀,오서윤,자녀
551218-6857978,이서민,본인,,,,,,
941203-2855688,이영윤,본인,조예우,배우자,박정영,자녀,,
501006-3204867,한예수,본인,오정윤,배우자,김예빈,자녀,,
520310-0616321,박영현,본인,이서빈,배우자,최윤호,자녀,장하영,자녀
500618-4594698,김서진,본인,이윤빈,배우자,,,,
580506-4170263,임민우,본인,오지빈,배우자,조도우,자녀,조도호,자녀
910201-4961538,정예아,본인,임준우,배우자,,,,
930704-6039704,송태빈,본인,최정율,배우자,,,,
650217-3269553,김현민,본인,,,,,,
900119-7917835,윤태수,본인,장하진,배우자,,,,
620322-8264538,김준영,본인,장정연,배우자,이도윤,자녀,,
750508-1816817,박하영,본인,조하연,배우자,최서혁,자녀,,
810317-1241399,송예빈,본인,,,,,,
790228-9290080,윤하우,본인,,,,,,
600814-8037488,윤민진,본인,임도영,배우자,윤민수,자녀,,
700411-1785158,윤현영,본인,조도호,배우자,,,,
940225-8082570,박민빈,본인,임현호,배우자,,,,
980820-6947451,박지윤,본인,최도연,배우자,이민진,자녀,박하우,자녀
921217-5951236,송준우,본인,,,,,,
880218-9786616,정예영,본인,김준우,배우자,윤서율,자녀,,
970122-8523747,김하아,본인,정지빈,배우자,이현영,자녀,,
541024-8099353,정지윤,본인,박정빈,배우자,,,,
900606-5729702,강현우,본인,,,,,,
970711-6452583,박도우,본인,최준영,배우자,정윤영,자녀,정현빈,자녀
730618-7981233,김민수,본인,김도우,배우자,임하윤,자녀,,
980217-6583100,강영연,본인,,,,,,
951107-7968741,이예진,본인,오하율,배우자,이하윤,자녀,윤민우,자녀
520414-7875759,정예민,본인,장서혁,배우자,오서우,자녀,,
660814-3308755,이도빈,본인,정준윤,배우자,오정호,자녀,윤현율,자녀
650326-0000210,정지현,본인,장정진,배우자,,,,
800811-1676808,박예연,본인,윤예진,배우자,조현혁,자녀,김서빈,자녀
511213-3386609,한태영,본인,윤현혁,배우자,,,,
610327-7118474,최도윤,본인,,,,,,
900725-5999226,이준진,본인,이하우,배우자,,,,
860806-4456897,임서연,본인,윤도호,배우자,김하혁,자녀,조하혁,자녀
981101-2585087,윤태아,본인,임정영,배우자,윤하윤,자녀,,
580315-3085206,송영윤,본인,김지우,배우자,조도윤,자녀,,
670716-7705557,강예윤,본인,임예연,배우자,장정수,자녀,,
760822-2538058,최지우,본인,조윤우,배우자,김민수,자녀,임준영,자녀
810718-0394384,송지영,본인,장정호,배우자,장하우,자녀,,
500120-8046040,임영수,본인,,,,,,
780201-6178822,정지빈,본인,이윤수,배우자,조도윤,자녀,,
731105-2975452,최도윤,본인,,,,,,
850525-4420831,임민빈,본인,,,,,,
540122-3340111,박예현,본인,최도수,배우자,,,,
811125-0992663,최하윤,본인,박예율,배우자,,,,
630907-6598735,임민민,본인,이준우,배우자,,,,
650521-1409233,이준연,본인,윤준혁,배우자,,,,
630511-8931301,최도우,본인,오지연,배우자,이민수,자녀,정정진,자녀
510421-0557314,임태아,본인,박예진,배우자,김예수,자녀,,
800819-2895194,이하수,본인,장예윤,배우자,,,,
570316-2301250,김준아,본인,조준수,배우자,,,,
660808-6968334,최현진,본인,,,,,,
910517-3788278,임현아,본인,박서영,배우자,,,,
920710-4204900,강예아,본인,박도윤,배우자,,,,
760420-4224600,송영빈,본인,장예영,배우자,,,,
510726-8343661,정영아,본인,정지영,배우자,조지영,자녀,최하우,자녀
601201-0781110,최서아,본인,,,,,,
560918-0515555,송민빈,본인,이준윤,배우자,이정혁,자녀,김윤진,자녀
600604-0891820,송준영,본인,,,,,,
501128-6132364,강도빈,본인,,,,,,
650911-6791943,정준현,본인,장하윤,배우자,윤지영,자녀,김도우,자녀
761221-4711443,임도진,본인,,,,,,
520702-4020446,이하진,본인,,,,,,
590604-1950316,김현빈,본인,조도빈,배우자,박현진,자녀,오윤진,자녀
640614-5465371,이민민,본인,,,,,,
701218-0578881,박태진,본인,,,,,,
941204-3610030,정예우,본인,김도수,배우자,,,,
530223-9622202,최지수,본인,조윤혁,배우자,,,,
740215-0980185,송영우,본인,정윤빈,배우자,,,,
680804-5765057,김서연,본인,김지우,배우자,,,,
730921-0475254,윤서연,본인,윤현윤,배우자,,,,
891221-3126236,송지민,본인,정현영,배우자,,,,
570110-3386277,이태우,본인,,,,,,
860623-6464855,한지연,본인,윤민우,배우자,윤예영,자녀,김준빈,자녀
720809-1016397,박지빈,본인,윤서수,배우자,,,,
990207-3734362,이태진,본인,윤준진,배우자,,,,
950918-4251970,윤하우,본인,,,,,,
921018-1198898,정하우,본인,박하수,배우자,김정윤,자녀,오서연,자녀
730620-7511938,정영아,본인,윤현윤,배우자,,,,
590224-0908330,이하우,본인,,,,,,
720203-9602709,강예윤,본인,정예연,배우자,오정율,자녀,,
521214-2705450,강태빈,본인,,,,,,
961004-1313139,임도윤,본인,,,,,,
811023-2674048,송예윤,본인,장지진,배우자,,,,
621101-4537250,최도연,본인,박서연,배우자,,,,
650208-7816502,김예연,본인,조지윤,배우자,김정호,자녀,장도우,자녀
840910-4488780,송현빈,본인,최현율,배우자,조하혁,자녀,최예호,자녀
911203-8452003,정예민,본인,이민진,배우자,김정우,자녀,김윤영,자녀
560928-7833380,김민연,본인,,,,,,
990421-8583201,정도민,본인,이서진,배우자,,,,
900409-1603923,김태민,본인,윤서윤,배우자,,,,
611116-8788715,김준민,본인,이도우,배우자,이정호,자녀,,
760728-5705648,송민연,본인,조윤호,배우자,,,,
730715-8532844,박현빈,본인,윤예연,배우자,최윤윤,자녀,조윤윤,자녀
671003-9898881,김예우,본인,박예진,배우자,,,,
650119-9996662,강민연,본인,이민율,배우자,,,,
720823-4104139,임도빈,본인,장윤호,배우자,오예윤,자녀,김하윤,자녀
900205-6863135,윤도수,본인,,,,,,
591107-3754942,윤하수,본인,박정진,배우자,임예빈,자녀,,
880218-5020081,김영우,본인,조준진,배우자,조도호,자녀,최하율,자녀
690815-4525600,윤준진,본인,이정혁,배우자,조준윤,자녀,임윤연,자녀
720408-0982817,윤민현,본인,,,,,,
740902-5761723,김민진,본인,오민수,배우자,임도진,자녀,,
631017-8454929,박현영,본인,윤현율,배우자,,,,
870813-5772943,김현수,본인,이정호,배우자,장하진,자녀,이하영,자녀
950115-7726898,이준연,본인,윤예우,배우자,최도영,자녀,임현영,자녀
800606-5882227,이지연,본인,장서수,배우자,박준혁,자녀,최서진,자녀
510709-3256902,박지연,본인,,,,,,
710704-1703842,박서민,본인,윤지혁,배우자,장하진,자녀,이민혁,자녀
830602-2060428,윤현영,본인,장서호,배우자,장도호,자녀,오서수,자녀
550515-3066408,강태윤,본인,조서율,배우자,김예윤,자녀,,
770227-4417579,임태진,본인,,,,,,
810204-1424002,김준진,본인,,,,,,
691027-0489732,윤준진,본인,,,,,,
720601-4752598,한태윤,본인,,,,,,
811206-0400758,박서아,본인,장서혁,배우자,정서연,자녀,,
630814-6747574,송영영,본인,정예호,배우자,정하호,자녀,윤현우,자녀
561027-8720507,임준연,본인,조서연,배우자,,,,
961205-7536846,임준영,본인,,,,,,
890314-4368243,최현현,본인,박예율,배우자,김민율,자녀,오민연,자녀
500320-1028746,박민윤,본인,임정영,배우자,,,,
910624-5949176,정민빈,본인,,,,,,
891115-4232599,임준아,본인,조지우,배우자,,,,
530717-1230337,박서연,본인,,,,,,
540207-5704418,최서수,본인,,,,,,
990416-9695816,이현수,본인,정하호,배우자,이정수,자녀,,
711102-1057684,박예윤,본인,장하율,배우자,이민진,자녀,,
550713-5490566,박영우,본인,김현영,배우자,최서율,자녀,김정빈,자녀
810421-1143561,임지현,본인,이현수,배우자,,,,
890426-0153087,윤도빈,본인,,,,,,
830603-3661393,윤하영,본인,,,,,,
570527-9938097,정영우,본인,김윤진,배우자,,,,
751212-6875465,강준현,본인,윤정율,배우자,박예수,자녀,,
911122-7704462,박민우,본인,임민호,배우자,최윤혁,자녀,오하우,자녀
570707-4111026,이민연,본인,윤도윤,배우자,윤윤율,자녀,정정우,자녀
900316-0662798,김준민,본인,,,,,,
720622-5814871,박도우,본인,윤예율,배우자,임윤빈,자녀,,
520228-9405575,윤도영,본인,김예호,배우자,정예호,자녀,,
740224-4155963,윤도민,본인,조정우,배우자,,,,
621022-8616946,김영진,본인,,,,,,
570416-5193758,최현진,본인,정도빈,배우자,윤민율,자녀,,
500312-7319334,한예진,본인,최도영,배우자,윤지율,자녀,김지영,자녀
820607-5262555,정예영,본인,,,,,,
560909-6561452,강도윤,본인,장지빈,배우자,최지빈,자녀,윤도호,자녀
671209-2367959,한예현,본인,박하호,배우자,오예영,자녀,김윤수,자녀
730201-6970380,송준아,본인,,,,,,
840423-5637094,최하아,본인,박하빈,배우자,이정윤,자녀,,
890712-0063565,한예현,본인,이현호,배우자,장하빈,자녀,조민혁,자녀
720723-3695913,최민수,본인,김정연,배우자,,,,
791118-2339474,강영현,본인,,,,,,
860205-1468165,임예민,본인,오예수,배우자,박민빈,자녀,오민호,자녀
830920-6886579,윤태우,본인,박현율,배우자,이예윤,자녀,,
620110-1620877,임현현,본인,최하연,배우자,조예빈,자녀,김정연,자녀
661004-4582049,김태민,본인,박예율,배우자,최윤수,자녀,임하영,자녀
960425-5712572,윤현민,본인,조준영,배우자,오지율,자녀,,
600804-6675068,윤지수,본인,윤정빈,배우자,,,,
880217-2142160,강영민,본인,조현수,배우자,정윤윤,자녀,,
840301-9706505,최서연,본인,이서혁,배우자,,,,
820216-7421233,최하연,본인,,,,,,
910615-8741144,박태진,본인,,,,,,
580821-5290706,한현윤,본인,,,,,,
970305-9172465,한지현,본인,,,,,,
660627-4188162,정예아,본인,오지수,배우자,이예수,자녀,,
900809-8680578,김태윤,본인,,,,,,
810918-1120355,박지빈,본인,박하율,배우자,박하진,자녀,,
841019-7187561,박하윤,본인,정준수,배우자,,,,
880811-3779612,임민영,본인,,,,,,
530705-3627063,임서민,본인,,,,,,
750627-0290996,박지연,본인,정현진,배우자,윤서수,자녀,장민우,자녀
790110-9087640,김현빈,본인,임도호,배우자,정서빈,자녀,,
560817-2306135,임준아,본인,,,,,,
820511-7803577,이태진,본인,,,,,,
980118-0346854,박민아,본인,최지우,배우자,정민수,자녀,장윤윤,자녀
661125-9657256,최도아,본인,,,,,,
930522-2239843,강민현,본인,박하연,배우자,이서진,자녀,,
761120-4582997,임하우,본인,,,,,,
630925-1252354,한도연,본인,윤도율,배우자,,,,
971223-7860239,한지우,본인,조정빈,배우자,윤준빈,자녀,박도호,자녀
820823-5006521,윤영영,본인,,,,,,
520827-1804009,윤도아,본인,이예율,배우자,오민연,자녀,,
960911-2953790,최예진,본인,,,,,,
550726-1010624,윤서수,본인,조지율,배우자,,,,
600803-4349394,임서진,본인,정예윤,배우자,조지우,자녀,,
621122-4174332,강민현,본인,,,,,,
600717-1813137,강예현,본인,이예호,배우자,,,,
660504-4179753,이영연,본인,최준우,배우자,조민수,자녀,윤정호,자녀
521107-7630854,강준현,본인,최서진,배우자,장현영,자녀,이민수,자녀
761021-2141424,박예우,본인,박민율,배우자,조준율,자녀,,
531128-9229929,송지현,본인,박현혁,배우자,정민호,자녀,,
990823-4778791,임영영,본인,이민영,배우자,장서율,자녀,윤현수,자녀
850306-2839264,윤민아,본인,,,,,,
700327-7799803,윤태진,본인,최민수,배우자,박정율,자녀,,
700107-0851245,최민우,본인,윤서우,배우자,조도빈,자녀,조지우,자녀
780715-4361374,박지빈,본인,,,,,,
960803-9595317,이준연,본인,,,,,,
631009-1673576,임민연,본인,장민진,배우자,,,,
750201-4302266,박하수,본인,오지율,배우자,장도혁,자녀,,
630217-9034564,임현우,본인,윤정영,배우자,박서영,자녀,,
601111-1489962,윤지현,본인,장지우,배우자,조윤혁,자녀,,
790528-9768363,정현수,본인,,,,,,
650223-5461800,김영진,본인,,,,,,
740506-6636104,김하우,본인,장윤수,배우자,조도연,자녀,김하우,자녀
650811-7643798,강서민,본인,김민호,배우자,최지호,자녀,,
841017-0602746,강지윤,본인,조준윤,배우자,,,,
781113-0436448,박예민,본인,정준윤,배우자,,,,
640906-5115181,강태영,본인,장지진,배우자,,,,
860318-6782768,박태연,본인,,,,,,
640404-3293874,한영수,본인,박윤수,배우자,오예호,자녀,조준율,자녀
690522-0535165,박예진,본인,,,,,,
561025-6241263,임하영,본인,오도연,배우자,김준율,자녀,윤도연,자녀
831010-7606261,임준현,본인,김하윤,배우자,,,,
901207-8947505,김준우,본인,조정수,배우자,,,,
840611-3090014,임민영,본인,박윤진,배우자,,,,
520501-7011364,정영민,본인,장정수,배우자,임민빈,자녀,최서혁,자녀
500313-4851680,송민진,본인,,,,,,
770802-7691174,정현연,본인,최민율,배우자,,,,
960602-6940450,이태진,본인,장민율,배우자,,,,
860204-3346415,최영아,본인,,,,,,
760710-5222919,이준연,본인,장지연,배우자,임예혁,자녀,,
620808-9948384,이하영,본인,장정율,배우자,장지혁,자녀,최정율,자녀
671116-5420537,정태현,본인,오윤진,배우자,윤하수,자녀,,
530714-8762727,이서영,본인,조윤연,배우자,김현율,자녀,,
560704-7583864,정서현,본인,박민율,배우자,윤준진,자녀,오도윤,자녀
711012-5399851,김현현,본인,정서영,배우자,임서윤,자녀,,
760505-7033601,임지영,본인,이서연,배우자,,,,
760916-3954741,윤도진,본인,,,,,,
700409-4092629,박예윤,본인,정도수,배우자,조정수,자녀,조현우,자녀
930928-5980320,송준현,본인,이정혁,배우자,임도윤,자녀,,
690304-3693578,이현진,본인,,,,,,
561205-9797149,송민아,본인,,,,,,
810109-4126844,이도빈,본인,오현우,배우자,김현율,자녀,박서호,자녀
831213-2673768,한현우,본인,정하율,배우자,,,,
701005-0900355,임영수,본인,오정수,배우자,,,,
911010-1087627,송영윤,본인,임윤호,배우자,오민수,자녀,,
590619-0439234,이영우,본인,박민영,배우자,박민빈,자녀,윤서연,자녀
860501-4588299,송지민,본인,임민진,배우자,조준영,자녀,,
510911-7167499,김하현,본인,임하수,배우자,조윤수,자녀,,
620716-9570908,이민빈,본인,조서진,배우자,김현혁,자녀,,
570513-5724676,이현수,본인,임윤혁,배우자,장현빈,자녀,박현수,자녀
980605-6396958,최영민,본인,오정빈,배우자,정정연,자녀,,
670414-4469661,강민민,본인,박서호,배우자,최예진,자녀,최민윤,자녀
701018-5488660,송하우,본인,오하혁,배우자,조현영,자녀,이예우,자녀
740526-2172827,이예빈,본인,윤하연,배우자,박정호,자녀,,
940821-7330781,정지민,본인,김정호,배우자,,,,
581023-0963943,이지빈,본인,최정수,배우자,,,,
970321-3120101,송민민,본인,윤도호,배우자,김준영,자녀,,
611108-3865891,이도수,본인,,,,,,
900905-6370572,정민연,본인,정서윤,배우자,최윤율,자녀,,
940810-7590776,이하빈,본인,이윤율,배우자,오현연,자녀,,
940228-8906282,정민아,본인,오민영,배우자,장서율,자녀,,
971109-9794767,최지우,본인,김예진,배우자,임도우,자녀,박현빈,자녀
500419-3602052,윤서빈,본인,,,,,,
530413-2263476,정태민,본인,최예빈,배우자,,,,
711021-9675356,강도수,본인,김도수,배우자,이하우,자녀,최현혁,자녀
760519-6387556,이태연,본인,이민혁,배우자,김예우,자녀,최윤연,자녀
911103-1146684,김영아,본인,최현연,배우자,윤하진,자녀,임현진,자녀
510907-5312931,김민윤,본인,윤도빈,배우자,김민우,자녀,조정연,자녀
551206-8248692,김하아,본인,윤지율,배우자,,,,
501118-1215999,송예우,본인,최지빈,배우자,,,,
570924-4377473,최도영,본인,이서율,배우자,오지율,자녀,김민진,자녀
511206-4171619,송예영,본인,,,,,,
840310-6403323,정태연,본인,박정빈,배우자,최예빈,자녀,,
780712-4131162,한도연,본인,임하빈,배우자,,,,
540317-6952810,한도윤,본인,윤준혁,배우자,박정빈,자녀,이서연,자녀
830314-8529267,이하윤,본인,최윤영,배우자,,,,
900215-0504723,송예수,본인,임현수,배우자,,,,
800309-2187386,강도진,본인,장도빈,배우자,정정율,자녀,,
610717-0636851,박서영,본인,윤윤호,배우자,장민연,자녀,정윤우,자녀
550912-9920570,임영윤,본인,,,,,,
880815-5554769,박지수,본인,,,,,,
780518-6950893,박지진,본인,조윤호,배우자,김도호,자녀,,
551214-5531085,박민빈,본인,,,,,,
800719-5276243,한현빈,본인,,,,,,
720612-7770590,강민우,본인,최서윤,배우자,,,,
970516-0763408,한예빈,본인,임윤윤,배우자,,,,
940205-0291554,윤예우,본인,김도영,배우자,조하연,자녀,,
660425-7987063,정준빈,본인,,,,,,
791103-8978824,윤현아,본인,,,,,,
820723-6008589,강도빈,본인,김서윤,배우자,임정윤,자녀,,
970416-4378091,송도영,본인,장도율,배우자,,,,
720611-9701943,이준연,본인,임도우,배우자,,,,
870328-0367060,송민우,본인,오도영,배우자,최준연,자녀,,
660927-2076654,한민빈,본인,,,,,,
750610-3111217,최민영,본인,,,,,,
691119-4459979,최민민,본인,조윤진,배우자,박준연,자녀,박정진,자녀
780215-7356827,박현아,본인,정지빈,배우자,박하윤,자녀,,
811004-4871954,한준윤,본인,최하율,배우자,,,,
521115-2700374,윤태진,본인,장현우,배우자,오윤빈,자녀,임예영,자녀
710213-0793501,박준수,본인,윤현우,배우자,윤하윤,자녀,윤준수,자녀
970408-8628411,임서수,본인,김도빈,배우자,조지호,자녀,,
660118-4791513,박준우,본인,이지혁,배우자,정서수,자녀,이예영,자녀
700106-2404688,최민현,본인,정도혁,배우자,,,,
770313-9963583,임도수,본인,이도혁,배우자,,,,
910112-1683970,이영진,본인,임도우,배우자,김예영,자녀,,
760728-0236614,박준영,본인,임서윤,배우자,박정진,자녀,,
770521-6373992,강영아,본인,,,,,,
740221-6367628,최현연,본인,박지진,배우자,정서연,자녀,,
610704-3564831,김영윤,본인,,,,,,
760720-4234104,정현윤,본인,정지호,배우자,장민윤,자녀,이도진,자녀
820116-8862021,김서민,본인,박현진,배우자,김서빈,자녀,,
500828-3770936,최현윤,본인,,,,,,
621014-9438439,김도민,본인,최현윤,배우자,조정윤,자녀,조민진,자녀
640427-7668768,이현수,본인,이예혁,배우자,조예연,자녀,,
530114-8210994,최준현,본인,최준혁,배우자,최민수,자녀,오현진,자녀
590203-8670825,윤도수,본인,김하연,배우자,,,,
740905-3810821,송민수,본인,윤지윤,배우자,,,,
780413-0257330,김지현,본인,오정영,배우자,김민수,자녀,오서영,자녀
940714-2760741,박서진,본인,정예혁,배우자,조현수,자녀,이도수,자녀
700724-8954365,송태우,본인,조하수,배우자,,,,
630111-3077231,윤현윤,본인,,,,,,
680512-3813216,김서현,본인,,,,,,
691203-3554613,박서아,본인,윤정윤,배우자,,,,
690106-2995098,김도윤,본인,윤서빈,배우자,박민율,자녀,이윤영,자녀
660428-7167306,윤영수,본인,오지수,배우자,김현연,자녀,최민호,자녀
971020-7578171,박지진,본인,최정수,배우자,,,,
851127-9882679,임도현,본인,정도혁,배우자,,,,
620112-5686181,윤하현,본인,이서수,배우자,정정율,자녀,,
871013-1479827,한하윤,본인,장하우,배우자,조서율,자녀,정지연,자녀
751117-3409256,임예진,본인,윤도진,배우자,윤윤우,자녀,이도영,자녀
681115-2291927,김준영,본인,,,,,,
950117-7582401,강예연,본인,,,,,,
990814-4510201,이하아,본인,임윤수,배우자,박서연,자녀,,
901227-7882419,이하연,본인,윤준연,배우자,,,,
981209-6553887,송민윤,본인,박준진,배우자,장하진,자녀,이하혁,자녀
930602-5133983,정지아,본인,이민율,배우자,김민수,자녀,정윤연,자녀
660211-8182903,송예진,본인,윤하율,배우자,,,,
941208-3231264,김지현,본인,,,,,,
720128-8768902,임민우,본인,,,,,,
861127-6365858,한현아,본인,임준진,배우자,,,,
720315-0699927,박예윤,본인,조윤호,배우자,조윤윤,자녀,김민진,자녀
510817-7270881,윤태우,본인,오준연,배우자,정예영,자녀,,
830925-6848592,한영수,본인,,,,,,
880910-0484273,이준현,본인,정도우,배우자,최현연,자녀,,
501003-2256335,임도윤,본인,오서진,배우자,,,,
880326-3841641,이태연,본인,장예수,배우자,,,,
571103-8635270,정태연,본인,조현빈,배우자,장예수,자녀,,
971224-2420368,김예우,본인,박지우,배우자,임서빈,자녀,김서우,자녀
930905-5062247,최현아,본인,정민영,배우자,김지진,자녀,,
520420-2033245,김하영,본인,이지호,배우자,장윤수,자녀,,
830314-2594011,송서진,본인,임준우,배우자,,,,
560927-1732873,윤서영,본인,이서윤,배우자,,,,
580514-2362662,송서연,본인,이지영,배우자,박현연,자녀,장지빈,자녀
860903-9127400,윤영빈,본인,이예혁,배우자,오현호,자녀,,
830701-9995124,김서우,본인,윤예빈,배우자,최도호,자녀,임현우,자녀
620603-0556811,강하영,본인,임윤연,배우자,,,,
640515-9287682,강예우,본인,박정빈,배우자,최지윤,자녀,정지혁,자녀
760222-1363470,윤서아,본인,,,,,,
560108-3219104,최예수,본인,정서빈,배우자,윤윤진,자녀,임현수,자녀
801001-4535867,최준연,본인,오서수,배우자,최도우,자녀,박윤윤,자녀
761107-1419387,정예연,본인,최서윤,배우자,,,,
710507-1563046,임민연,본인,최예율,배우자,이윤혁,자녀,,
960402-7570182,강하아,본인,최민율,배우자,,,,
601219-7204628,윤현수,본인,임예연,배우자,,,,
991223-9138617,정하우,본인,,,,,,
510927-7535972,강태윤,본인,,,,,,
830918-5020412,강지진,본인,,,,,,
670618-8339964,최준수,본인,김지호,배우자,정윤진,자녀,정준호,자녀
930917-8401154,박영민,본인,김예호,배우자,임지빈,자녀,김현영,자녀
600506-8187023,임영연,본인,임서호,배우자,,,,
850922-3465418,윤민영,본인,,,,,,
720813-0596141,이현아,본인,조도혁,배우자,김지율,자녀,정도영,자녀
520716-1054785,임현현,본인,이현윤,배우자,,,,
581105-9459656,최태영,본인,,,,,,
720110-6413317,김준우,본인,,,,,,
600509-9843870,정서영,본인,임지윤,배우자,이민연,자녀,최정영,자녀
910113-8443053,윤도민,본인,최예율,배우자,,,,
820215-5941431,강민진,본인,임서빈,배우자,,,,
640522-2274387,한하진,본인,,,,,,
560616-5993830,윤태영,본인,장도빈,배우자,박지윤,자녀,정예우,자녀
500217-9415050,한서진,본인,최지진,배우자,윤예우,자녀,,
750525-4520702,이영수,본인,,,,,,
801008-5490568,최민민,본인,최정호,배우자,,,,
630821-0819979,송예아,본인,이지윤,배우자,박도호,자녀,조예연,자녀
560313-4158525,윤현윤,본인,,,,,,
690616-1317839,윤현현,본인,장정빈,배우자,정지진,자녀,오윤수,자녀
581206-1741917,강예연,본인,최서우,배우자,조하율,자녀,임도연,자녀
970409-9367760,정태아,본인,임서윤,배우자,오현율,자녀,,
590102-9795632,강지수,본인,임지호,배우자,오정연,자녀,이준율,자녀
960716-8012605,김영연,본인,,,,,,
841225-3900100,임현수,본인,이도영,배우자,윤예율,자녀,정민혁,자녀
810817-9328185,한하연,본인,조윤진,배우자,임정윤,자녀,,
860213-1156800,이예민,본인,윤현연,배우자,,,,
540603-4672401,윤태진,본인,조서호,배우자,조지수,자녀,,
920813-3377061,임현윤,본인,조현혁,배우자,,,,
850425-1091304,한태현,본인,장지수,배우자,조윤진,자녀,최준진,자녀
931110-5046476,송민빈,본인,박하빈,배우자,임민영,자녀,,
910328-0347090,강예현,본인,임하우,배우자,최윤수,자녀,조예빈,자녀
540224-5723745,정태아,본인,,,,,,
750320-8426797,윤영영,본인,박도진,배우자,임현영,자녀,,
750308-9858276,박도민,본인,장민혁,배우자,임도호,자녀,,
750206-4142152,최현민,본인,,,,,,
